id,videoid,views,author,title,upload,tags,category
7794,njNpbKN0qKA,10,Lurf Jurv,Baritone issue #221 demo,2018-10-06,,Gaming
16322,6CpBfHWXqy8,1,W7ENK,Oregon AMS – 2021 Winter Recap,2021-03-19,,Film & Animation
18539,YJegPkdocYA,10,Tootsie4ever,Tootsie Streams: Editing Holiday Horses,2015-11-29,,Entertainment
18682,jNeD-QH-dbI,10,Tootsie4ever,Tootsie Streams: Ratchet and Clank [PS2],2016-05-14,,Entertainment
20253,NsjTCMAzTLg,10,OzoneTV,Egyenlítő (2020-06-09) ajánló,2020-06-07,,Entertainment
20673,2VQ2vkLSo2E,10,OzoneTV,Egyenlítő - Home Office (2020-05-27) ajánló,2020-05-23,,Entertainment
20679,DIAXuXKYiAg,10,OzoneTV,Maszkban vajúdnak a kismamák a járvány alatt,2020-05-22,,Entertainment
20906,sMqCESXo2yM,1,OzoneTV,Az Ökumenikus Segélyszervezet célja a koronavírus-járvány alatt sem változott,2020-04-22,,Entertainment
21269,7FDoOL4tzZs,10,OzoneTV,Egyenlítő (2020-03-27) ajánló,2020-03-22,,Entertainment
21299,0Wm9xz0oY88,10,OzoneTV,Egyenlítő (2020-03-17) ajánló,2020-03-12,,Entertainment
21789,_aS88DQG8_Q,10,Cadbury,Milky NZ,2021-03-17,"cadbury,dairy,milk,joyville",Entertainment
23228,QXjwKUatrjc,0,Giltrap TV,Aston Martin DBX | Unmistakably Aston Martin,2021-03-30,,Autos & Vehicles
23500,vfnmfwCynyI,10,Shenanimation,PATREON EXCLUSIVE - Teresa's Posse for AmethytusEstate 26/09/15 (1000% Speed),2015-09-28,,Film & Animation
23621,kUBYeKY7754,10,4Life,Promocija DNEVNIKA NOVE BH,2019-11-02,,People & Blogs
24230,UGdIsE-dJrk,0,NickVenture1,"Sri Lanka,ශ්‍රී ලංකා,Ceylon,Fishing Outrigger Proa Boat",2020-07-15,,Education
24328,raM5cKLWwEA,1,Auckland Zoo,High Canopy Habitat - Open now!,2021-03-31,,Nonprofits & Activism
24329,M9HwZuzAbsM,1,NickVenture1,"Sri Lanka,ශ්‍රී ලංකා,Ceylon,Outrigger Fishing Proa,Swimming Challenge",2020-07-15,,Education
24331,E_TB7n92Pb0,1,NickVenture1,"Sri Lanka,ශ්‍රී ලංකා,Ceylon,Fishing Outrigger Boat Proa",2020-07-15,,Education
24420,ci9ebRp1HaI,10,Net,Mion's Crashervania,2020-12-06,,People & Blogs
26200,Xn4eXsCBQjM,10,Jason Brown,Bad Drivers 1,2018-08-22,,Entertainment
26224,igR68ZGh52w,1,Evelin Lindner,Evelin Lindner 87.1: Post-Conflict Reconstruction and Reconciliation: The Case of Rwanda,2017-03-07,"menneskerettigheter,humiliation,#dignism,World Dignity University,human dignity,human rights,Rwanda,humiliation studies,genocide",Education
26400,qyzAVcdXEm0,1,Evelin Lindner,Evelin Lindner 65: Hva har kultur- og samfunnspsykologi med verdighet å gjøre? 2015 del 2 samtale,2019-05-03,"human dignity,World Dignity University,dignity,humiliation,violent conflict,#dignism,Norway,University of Oslo,war and genocide,terror,terrorism",Education
26401,0pYRDj9BFbU,0,Evelin Lindner,Evelin Lindner 35: Verdighet eller ydmykelse? 2014 del 2 Samtale,2019-05-03,"human dignity,World Dignity University,dignity,humiliation,violent conflict,#dignism,Norway,University of Oslo,war and genocide,terror,terrorism",Education
26523,WeXH-R80zeM,10,Evelin Lindner,Evelin Lindner 112: On Dignity and Humiliation 2018,2019-05-04,"human dignity,World Dignity University,dignity,humiliation,violent conflict,#dignism,Norway,University of Oslo,war and genocide,terror,terrorism",Education
29215,Bd0BB-m7i7I,10,sabrinavaz1,Jack's ASMR,2019-12-20,,Entertainment
29238,uQYTxT9Ph8I,10,sabrinavaz1,rachel ASMR,2019-09-09,iMovie,Entertainment
29695,ZsIC4WSQ_1Q,1,Ethiopian News Agency (ENA),ከ720 ሚሊዮን ብር በላይ  የሚገመት የኮንትሮባንድ እቃዎችና ገንዘብ ተያዘ,2020-10-14,,News & Politics
29694,QZAT6ukCiyk,1,Ethiopian News Agency (ENA),የነፃነት አንደበቶች,2020-11-16,,News & Politics
29732,lFB64eUATtU,1,One New Zealand,Vodafone Endless Data 6',2021-01-25,Vodafone,Science & Technology
30231,qtjc2GwVWjY,1,RetroHellspawn,Silent Hill HARD MODE Speedrun #00 (Old Save),2020-04-13,"RetroHellspawn,Gaming",Gaming
30232,eTnzi-Rc2Dw,0,RetroHellspawn,Retro Plays: FFVII Remake Demo,2020-04-12,"RetroHellspawn,Gaming",Gaming
30466,IU5F-f4ykR0,0,RetroHellspawn,Retro Plays: Shenmue #06,2020-04-13,"RetroHellspawn,Gaming",Gaming
30467,ERb9JABKDdI,0,RetroHellspawn,Retro Plays: Shenmue #07,2020-04-13,"RetroHellspawn,Gaming",Gaming
32504,qyOE0OYCoKQ,1,ASMR Claire,"Rambling, Mouth Sounds, Mic Brushing and Scratching and a surprise 🙈",2019-07-23,,Entertainment
34520,LTwZ9T0l32Q,0,RetroHellspawn,Brutal Doom Test Stream,2020-04-12,"RetroHellspawn,Gaming",Gaming
34813,jNNl28ZriXw,0,RetroHellspawn,Retro Plays: Butcher,2020-04-12,"RetroHellspawn,Gaming",Gaming
39140,hOLlKpXV-ws,0,RetroHellspawn,Retro Plays: Shenmue #04,2020-04-12,"RetroHellspawn,Gaming",Gaming
39529,iwKZr_zp2xY,0,HeadHunter455,[Stellaris] Space is nice. 5/11/17 2 (after computer freaked out kinda),2017-05-11,"twitch,games",Gaming
39618,DsvImJodUlw,1,RetroHellspawn,Retro Plays: Shenmue #03,2020-04-12,"RetroHellspawn,Gaming",Gaming
40326,DhQZc5V9SlU,10,Kixerz,scrap,2018-10-05,,Gaming
51573,TMXY_xTeDPk,10,Cahsew128,Person no,2021-01-09,,Gaming
51586,4l_wXwBGVVc,10,Magnus Juul,Challenge #14 pro,2017-04-25,,People & Blogs
51593,kFEDtQyslCQ,10,Magnus Juul,Challenge #10 pro,2017-02-26,,People & Blogs
51713,X0upV3_x5Dk,10,Magnus Juul,Challenge #3 elite,2017-03-16,,People & Blogs
52004,xDJl-9WtX2g,10,FG,bienvenida distritos WORSHIP,2018-02-09,,People & Blogs
52027,qo5nv7vx99U,10,FG,be elkin alta,2017-09-10,,Travel & Events
52220,3C6Q1BJN6Yc,1,FG,reto  24 nov Dario baja,2017-11-23,,Travel & Events
52233,IaqwMVyoE00,1,FG,RETO 17 nov elkin alta,2017-11-14,,Travel & Events
52421,kIBL07lQ49s,1,PlayStation Europe,AT 25off Plus 16x9 6s,2020-08-14,"pseu22072019tag,playstation,playstation 4,playstation europe,playstation eu,sony playstation,ps4,psvr,playstation vr,ps vr",Gaming
53202,Kd2hZEuKpbo,1,Creepers,GTAV Facts & Glitches Submission,2021-01-17,,Gaming
53304,Z1cRiu4uGyg,10,mvp,3.7010 Special tracks level 3 (hidden) WR,2019-06-11,,Gaming
53630,H99jp2GA9kQ,1,Doubt,Bike Race - Hills 2 Level 7 Submission,2020-10-29,,Gaming
53722,R2Ko3wOUCok,10,Waldo Lemmer,Useless fence,2021-06-01,"glibg10b,gta,grand theft auto,gtav,gta5,gta online,grand theft auto online,cinematography,rockstar editor,NaturalVision,NVR,ENB,EVE,Extended Video Export,car,motion blur,video,slow motion,timelapse",Gaming
54454,e8NZb4qmJVs,10,Yellowbross Productions,(V2) Kick the Buddy - Sparta Extended Remix [Sneak Peek],2019-11-23,,Music
54762,beJudXUdUQY,10,andrei,i dont even know,2020-10-23,,Gaming
55098,jXVyTxHB6-s,1,wiichicken,how to install and run microsoft paint tutorial,2019-04-14,"JackCrocAce,LanDest021,Dabest021",Comedy
55104,lVowbfF72PA,10,wiichicken,meal.mp4,2019-03-11,"meal,.mp4,meme,ironic,dank",Comedy
56327,Z3-xy7mT6jc,1,samhomeproductions,Live video feed hide and seek - bootleg bill's turn,2019-07-24,,Entertainment
56350,WrW-06fibrY,10,samhomeproductions,bootleg bill and myself's OFFICE AT SCHOOL!?,2017-08-26,,Entertainment
58718,EY__m9b8P1o,10,Red Bull Gives You Wiiings,201007-RB_BCONE_WORLD_FINAL-LIVE STREAM_16x9.mp4,2020-10-14,,Entertainment
58887,GMmv2MQA2ao,10,innocent Filme,Ingwer Power Shots - jetzt bei Interspar und Merkur,2020-09-29,,Nonprofits & Activism
59366,SacLUARFuUE,10,Luca,5x knockdown/kill kill leader with mozam,2020-12-18,,Gaming
60322,lJhzlNeu4qE,0,yo mama theme park,My video,2018-01-11,,Gaming
60323,vKmt6XJ7w5Y,0,yo mama theme park,Sword Pixel Art,2018-01-11,,Gaming
60663,ktKnMp3Vm2I,1,HAKUMA,HAKUMA CartoCan OUT NOW,2020-10-07,,Entertainment
61183,0__oLqTLu0s,10,yo mama theme park,DDLC Mod Demo,2018-02-01,,Gaming
61645,9YyqU_Lomvw,1,ABOUT YOU,AY-AT_SS20_Generic,2020-07-16,,People & Blogs
61994,7UdXRktFSWU,1,Stefanie Mantsch,754294 5 16x9 Orbit Shoppable MaskBreath1 6s AT v1,2020-09-18,,People & Blogs
63518,ngWw7fVMLaI,10,Visit Cyprus,6sec Wave MyCyprusEscape,2020-08-11,"Travel,Cyprus,mediterannean,vacations,Cyprus travel videos,holidays,summer 2020,summer holidays,holidays to cyprus,travel to Cyprus,cyprus beaches,cypriot cuisine,mediterannean cuisine,halloumi",Travel & Events
63519,tF-5ibOCtfQ,0,Visa Europe,Mein Geld ist bei jeder Zahlung sicher. Ich zahle Visa,2020-08-21,,Travel & Events
64074,Thanm6E3mfQ,0,Sean Paul Upload,MDLZ_Milka_Goodness_6sec_Bumper_Version2_17sept,2020-09-17,,People & Blogs
63892,SnGzRSWrJTI,1,Xaxis LR MP,MitsuOutlander Reason3 lokal v3,2020-07-15,,People & Blogs
64069,HXsAr2s-DVs,0,Stefanie Mantsch,754294 5 16x9 Orbit Shoppable Snacking 6s AT v1,2020-09-18,,People & Blogs
64075,a6m_nfNqw9w,10,Sean Paul Upload,20200923 Römerquelle Bumper 6s V4 10LU,2020-10-14,,People & Blogs
64191,DdBgW0d5Xjs,10,Samsung Österreich,Explore Austria with Galaxy S20 - Gaisberg,2020-07-08,Explore Austria with Galaxy S20 - Gaisberg,Science & Technology
64200,5RsCUPIATVQ,1,Sean Paul Upload,Rabattsammelpass 2020Sommer 6s gross 2,2020-07-30,,People & Blogs
64330,gyjvGerfBbY,0,Visa Europe,Egal ob online oder kontaktlos. Ich zahle Visa,2020-08-21,,Travel & Events
64337,94Cp95BENP8,0,Sean Paul Upload,ADEG Sackerl 2020 GS Heft CW41 6s MoTV gross,2020-10-05,,People & Blogs
64637,TWfuBCDlaDA,1,Visa Europe,Mein Geld ist so mobil wie ich. Ich zahle Visa,2020-08-21,,Travel & Events
64712,8dRibF9ZbRM,10,Microsoft Canada,Video 1 – Laptop Go_16x9_6sec_Out,2020-11-17,,Science & Technology
65728,P_JvNSaL8kA,10,Libresse Sverige,Låt våra #wombstories höras!,2020-08-10,,Howto & Style
66428,n0e-ACDC1KA,1,WestpacNZ,Westpac Housing Spring 2020,2020-10-22,"Westpac,Westpac NZ,New Zealand,Bank,Help is what we do,Start asking",News & Politics
67100,v6OGtHojEZc,1,Perograming wgera wgera,ScreenCapture 24 05 2020 19 46 53,2020-05-24,,Education
69427,x7sPWy3N2RM,1,xKito Music,►xKito Music 1 Million Subscriber Special!◄,2017-02-11,,Entertainment
70236,5eSNYmRDF0k,10,YouTube Ads 482,Video Ad,2020-06-25,,People & Blogs
70894,ceJ-Bdl6aNw,10,Филип Кујунџић,Gemini - Making of logo,2020-10-31,,Howto & Style
74943,nPm5J-Te3A8,10,Redbil,GH Ned & Olivia perform 2018,2019-04-11,,People & Blogs
75471,2WaxRemWd2U,0,Department of Conservation,Rena Drop Camera Transect 13,2015-06-09,"conservation,New Zealand,DOC,Department of Conservation,nature,environment",Travel & Events
76794,vah8qRndEyQ,0,lele2,Supernanny Season8Episode1,2020-01-14,,People & Blogs
77805,_zrmD1Bhk3U,0,V Energy NZ,Slap yourself out of it 0027,2020-04-08,"QmADHIYNbahu,Mix,VaPIO1Sv4quN,Oj1cm3MNhGTc",Entertainment
77768,3gBmYkxviSE,1,Flybuys NZ,FLY0057   Bumper 01 This or this,2020-07-07,,Entertainment
77806,pzBJ09eJofU,1,YouTube Ads 433,Video Ad,2020-05-18,,People & Blogs
77987,2Hzcf-YHCK8,1,Department of Conservation,Rena Drop Camera Transect 7,2015-06-11,"conservation,New Zealand,DOC,Department of Conservation,nature,environment",Travel & Events
78305,Tx-htrbhtv4,10,sauce_dude,2:05:27.41,2020-08-02,,People & Blogs
78705,iKt_abA4CAs,1,Nintendo of Europe,3DS TeddyTogether Online Eating TooHot ES,2016-06-03,,Gaming
78707,_X82enQaMJ0,0,Nintendo of Europe,3DS TeddyTogether Online Question MoreGirlsOrBoys ES,2016-06-03,,Gaming
78828,iCA6oY16iqk,10,Nintendo of Europe,3DS TeddyTogether Online Question MoreGirlsOrBoys FR,2016-06-03,,Gaming
78838,MmW96o_G1Iw,10,Nintendo of Europe,3DS TeddyTogether Online Question YourName EN,2016-06-03,,Gaming
81477,_n8DG2zZgGg,10,Chicago Fire FC,Catagories Star Wars Night Final,2017-08-24,"Chicago Fire Soccer Club,Chicago,Fire,#cf97,Chicago Soccer,Illinois,Illinois Soccer,MLS,Major League Soccer,Soccer,Toyota Park",Sports
